Chart-1,30-1,30-292
Chart-8,0-12
Chart-9,13-31,13-38
Chart-11,4-1
Chart-24,2-73
#Chart-26,? no fl (135)
#Closure-2,?
#Closure-19,?
Closure-21,4-272
Closure-46,5-69
Closure-57,6-6
#Closure-62,?
Closure-73,15-641
#Closure-77,, no fl(6026)
Closure-86,1-71,1-87
Closure-92,15-1
Closure-93,15-1
Closure-109,3-164
Closure-115,7-101
Lang-4,14-3
#Lang-6,? no fl(98)
#Lang-10,15-26 no fl
Lang-29,0-2
Lang-33,5-24
#Lang-43,?
#Lang-45,?
#Lang-51,?
#Lang-55,?
#Lang-59,?
Lang-61,20-200
#Math-2,37-13
#Math-5,?
Math-30,27-5
#Math-34,?
Math-41,34-3
Math-50,3-189
Math-57,3-4,3-153
Math-59,1-51,1-283
Math-63,0-59
Math-65,3-35
Math-70,0-1,0-477
Math-75,0-4
#Math-80,13-?
Math-90,2-5
Math-94,5-59
Math-98,3-5,3-124
Mockito-29,29-33
#Mockito-34,29-?
#Mockito-38,2-?
#Time-4,29-?
Time-7,15-1
